CustomerName,Product,Category,PurchaseDate,Phone,Price,Notes
Jon,Laptop,Clothes,02-01-2021,(198) 862 7105,857.24, deliver 
John,Lptop,Clothes,2021/02/01,669-161-6400,907.92,
Alyce,Headphones,Hm,01/02/2021,520-462-7929,1116.06, deliver 
Alice,Tabl,Eletronics,Feb 1 2021,838-152-5712,303.94,
Alice,Tablet,Hm,02-01-2021,460-206-9313,1034.19, deliver 
Jhn,Phon,Eletronics,2021/02/01,(772) 593 4674,855.98,
Jon,Tabl,Sport,Feb 1 2021,458-965-7022,117.98, deliver 
Robert,Phon,Eletronics,2021/02/01,(385) 687 4705,549.4,
Jon,Tablet,Electronics,02-01-2021,965-674-1430,982.81,
Robrt,Headphones,Sports,01/02/2021,773-949-5381,602.67, deliver 
Bob,Phone,Clothes,02-01-2021,(379) 819 6062,810.47,
John,Tablet,Sports,01/02/2021,459-106-3972,1059.65,
John,Hedphones,Eletronics,2021-02-01,679-773-7566,641.98,!!urgent
Jon,Tabl,Sports,Feb 1 2021,(858) 748 1502,484.84,
Alice,Lptop,Electronics,2021-02-01,(643) 320 7163,316.62,
Alice,Laptop,Clothes,01/02/2021,449-261-7062,830.0,
Robert,Hedphones,Clothng,2021/02/01,432-895-2391,399.4,
Robrt,Lptop,Eletronics,01/02/2021,259-261-1815,376.75,check warranty
John,Lptop,Clothes,01/02/2021,378-553-7947,1293.43,!!urgent
Robert,Phon,Sports,2021/02/01,552-524-5475,259.31,check warranty
Alice,Tablet,Clothng,2021-02-01,(624) 216 6655,721.39,
Robert,Phone,Home,Feb 1 2021,390-794-8972,133.55,
Bob,Tabl,Clothes,01/02/2021,415-146-4612,648.38,
Alice,Lptop,Home,01/02/2021,713-156-1125,653.94, deliver 
Bbo,Phon,Sport,Feb 1 2021,(316) 885 3248,818.49,!!urgent
Robrt,Tabl,Clothng,01/02/2021,396-435-2965,613.21, deliver 
Alyce,Tablet,Clothng,Feb 1 2021,(864) 540 3878,419.74,
John,Phone,Clothes,Feb 1 2021,(645) 820 4770,528.88,
Jhn,Hedphones,Sport,Feb 1 2021,953-784-6802,164.65,
Bob,Tablet,Sports,2021/02/01,(982) 859 1693,702.19,!!urgent
Alise,Laptop,Hm,2021-02-01,570-179-6129,588.06,check warranty
Alyce,Tablet,Eletronics,2021-02-01,687-514-7843,826.67,
Jhn,Lptop,Sport,02-01-2021,(514) 121 6321,1252.64,
Alice,Phone,Clothng,2021/02/01,(732) 571 6928,124.73,
Alise,Tablet,Hm,02-01-2021,(964) 208 4986,596.89,
Jon,Lptop,Clothng,2021-02-01,510-636-2288,927.21,
Jon,Lptop,Clothes,2021-02-01,417-863-6562,107.34,check warranty
Bob,Phone,Sports,2021-02-01,(897) 272 2251,155.54, deliver 
Jon,Tablet,Electronics,01/02/2021,216-643-9355,1216.74,!!urgent
Alise,Tablet,Clothng,02-01-2021,(894) 457 6752,902.0, deliver 
Alise,Phon,Sports,2021/02/01,938-760-3419,1023.6, deliver 
Robrt,Tabl,Home,02-01-2021,(249) 362 4232,364.67,
Alyce,Phon,Clothng,2021-02-01,(256) 878 2234,352.89,
John,Tablet,Hm,2021/02/01,(891) 743 9095,1365.2,check warranty
Bbo,Hedphones,Sports,02-01-2021,677-878-8354,489.62,!!urgent
Robert,Tablet,Sport,2021-02-01,678-758-6295,1368.04,
Jon,Laptop,Sports,2021-02-01,742-423-3473,357.12, deliver 
Bob,Lptop,Sport,2021/02/01,580-552-5961,325.53,
Jon,Headphones,Sport,Feb 1 2021,705-157-6766,1125.14,!!urgent
Robert,Tablet,Electronics,2021/02/01,417-572-8404,1132.97, deliver 
Alyce,Laptop,Hm,Feb 1 2021,(477) 951 5703,1143.78,
Robrt,Laptop,Eletronics,01/02/2021,(984) 975 2479,1375.94,
Alise,Tabl,Hm,2021/02/01,619-493-8581,1058.66,check warranty
Robrt,Phone,Clothes,Feb 1 2021,910-856-1672,1070.46,!!urgent
Alice,Tablet,Clothng,02-01-2021,929-685-4084,625.12,!!urgent
Jon,Phone,Hm,2021-02-01,587-613-3471,397.03,!!urgent
John,Hedphones,Clothng,01/02/2021,561-205-6626,516.34, deliver 
Alice,Headphones,Clothng,2021/02/01,186-616-3827,460.44,check warranty
Alyce,Laptop,Clothng,Feb 1 2021,(824) 548 8199,726.06,
Jon,Lptop,Electronics,02-01-2021,724-262-6962,990.65, deliver 
Alice,Lptop,Eletronics,Feb 1 2021,389-496-7697,497.21,!!urgent
Jon,Phone,Sport,2021/02/01,795-712-1857,571.48, deliver 
Bob,Laptop,Hm,Feb 1 2021,762-442-2079,1330.08,
Alyce,Tabl,Clothes,2021/02/01,671-794-7333,725.71, deliver 
Bbo,Phone,Hm,Feb 1 2021,(841) 972 3463,1214.08, deliver 
Alise,Headphones,Sport,2021-02-01,696-779-3317,1097.5,!!urgent
Jhn,Phone,Sports,2021/02/01,417-771-7421,1154.36,
Alise,Laptop,Clothng,2021/02/01,(825) 186 6072,514.34,!!urgent
Alise,Tablet,Sports,01/02/2021,758-910-6381,344.53,
Alice,Tabl,Clothes,2021-02-01,786-819-9624,503.74,
Alyce,Laptop,Sports,2021/02/01,(786) 533 9331,116.29,
Jon,Tabl,Sports,02-01-2021,471-416-3953,1302.92,!!urgent
Robrt,Phon,Clothng,Feb 1 2021,449-884-8967,1124.82,
Jhn,Phon,Sport,02-01-2021,(240) 258 2264,73.52,check warranty
Robert,Lptop,Sport,Feb 1 2021,(907) 203 9317,852.3,check warranty
Alice,Tabl,Sport,Feb 1 2021,955-856-9626,896.85,
Jhn,Headphones,Hm,01/02/2021,(444) 997 3147,1094.02,check warranty
Bbo,Phone,Eletronics,2021/02/01,257-266-3962,478.03,
Bob,Phon,Hm,Feb 1 2021,889-739-3712,334.48,check warranty
Alyce,Phone,Sports,01/02/2021,144-520-6968,383.53,!!urgent
Robert,Phone,Eletronics,02-01-2021,343-554-5668,876.19,
Alice,Headphones,Home,01/02/2021,902-559-4833,406.31, deliver 
Alise,Laptop,Hm,02-01-2021,416-928-8684,848.43, deliver 
John,Phone,Hm,2021/02/01,298-476-8218,1418.02,check warranty
Alice,Tabl,Clothng,Feb 1 2021,388-896-7256,539.47, deliver 
John,Headphones,Sport,2021-02-01,528-265-4271,1156.87,check warranty
Alise,Phon,Sport,02-01-2021,241-993-5096,758.5,check warranty
Bob,Tablet,Eletronics,Feb 1 2021,(592) 995 7081,1099.16, deliver 
Alyce,Phone,Hm,2021-02-01,205-828-9452,1122.41, deliver 
Jon,Lptop,Sport,2021-02-01,391-185-3626,718.2,
Alice,Headphones,Hm,02-01-2021,(625) 250 8167,1112.52,
Robrt,Laptop,Sports,Feb 1 2021,(327) 936 8391,560.66,check warranty
Alise,Hedphones,Home,2021-02-01,127-524-1872,252.94, deliver 
Alice,Phon,Sport,01/02/2021,482-341-7326,842.49,
Bbo,Phon,Electronics,01/02/2021,483-329-1461,316.87, deliver 
Bob,Hedphones,Home,Feb 1 2021,201-959-6493,1339.58, deliver 
Bbo,Tabl,Sport,2021/02/01,240-139-5700,1485.97,
Jhn,Tablet,Electronics,01/02/2021,583-812-3273,1437.99,check warranty
Alyce,Phon,Electronics,02-01-2021,580-559-1086,809.72,check warranty
Jhn,Phon,Sport,Feb 1 2021,119-362-4533,1266.65,!!urgent
Alice,Laptop,Home,2021-02-01,661-844-9647,157.78,
Robert,Phon,Clothng,01/02/2021,894-395-4893,1236.09,
Robert,Headphones,Eletronics,Feb 1 2021,148-344-7878,120.35,
Alyce,Tabl,Electronics,Feb 1 2021,737-568-2029,59.26,
Robrt,Tablet,Sport,2021/02/01,(611) 711 9782,249.36,check warranty
Bob,Lptop,Clothng,2021-02-01,(627) 688 4963,964.52,!!urgent
Robrt,Tablet,Clothng,2021-02-01,398-539-1025,148.55,!!urgent
Bob,Tabl,Clothng,2021-02-01,346-684-7825,268.99,check warranty
Alise,Headphones,Sports,02-01-2021,(784) 187 9576,367.14, deliver 
Alice,Tabl,Home,Feb 1 2021,169-638-9914,711.21,
Jhn,Laptop,Electronics,02-01-2021,619-667-1333,137.65,!!urgent
Robert,Lptop,Sport,02-01-2021,581-144-7338,974.71, deliver 
Bbo,Tablet,Clothng,Feb 1 2021,359-865-1266,1404.16,
Jon,Phone,Eletronics,2021-02-01,169-453-4950,1373.49,!!urgent
John,Tablet,Eletronics,Feb 1 2021,743-206-6447,1005.96,
Jon,Laptop,Clothes,2021/02/01,(460) 659 6546,72.81, deliver 
Jhn,Lptop,Clothng,Feb 1 2021,279-950-8612,821.71,
Jhn,Headphones,Eletronics,Feb 1 2021,590-746-3986,646.44, deliver 
Bob,Tabl,Electronics,01/02/2021,164-833-8498,74.25,
Robrt,Tabl,Home,2021/02/01,(306) 144 4268,1097.18,
Jon,Headphones,Home,01/02/2021,423-417-9444,826.82,!!urgent
Bob,Lptop,Sport,2021-02-01,934-656-8756,465.7,!!urgent
Bob,Headphones,Eletronics,2021-02-01,(871) 762 4131,778.21, deliver 
Robrt,Phon,Hm,2021/02/01,(982) 899 1783,1061.9,
